im_nbs,hidden_scrs,overf_best_scrs,best_ims
17_threshold_0.09,0.701634609,0.74931112,24_training
17_threshold_0.18,0.763711952,0.809123214,24_training
17_threshold_0.27,0.795517029,0.822218618,24_training
17_threshold_0.36,0.809231941,0.766260607,24_training
17_threshold_0.45,0.8070454,0.630505217,22_training
17_threshold_0.54,0.789615498,0.823899106,24_training
17_threshold_0.63,0.75533276,0.749476549,32_training
17_threshold_0.72,0.704371217,0.736155674,32_training
17_threshold_0.81,0.63417685,0.668485504,28_training
17_threshold_0.9,0.529775634,0.287409703,24_training
18_threshold_0.09,0.656324826,0.747408116,24_training
18_threshold_0.18,0.727505171,0.807309365,24_training
18_threshold_0.27,0.770286888,0.7793839,24_training
18_threshold_0.36,0.797457613,0.800080032,24_training
18_threshold_0.45,0.814632156,0.82453233,24_training
18_threshold_0.54,0.819657281,0.805248581,24_training
18_threshold_0.63,0.810500311,0.797606487,24_training
18_threshold_0.72,0.786138571,0.798627097,24_training
18_threshold_0.81,0.740764714,0.782381953,21_training
18_threshold_0.9,0.651952807,0.75091907,28_training
19_threshold_0.09,0.638304401,0.776265801,24_training
19_threshold_0.18,0.716699642,0.665487295,40_training
19_threshold_0.27,0.768996077,0.808489597,36_training
19_threshold_0.36,0.812664743,0.750878077,36_training
19_threshold_0.45,0.847492665,0.780561243,36_training
19_threshold_0.54,0.870012458,0.762463553,29_training
19_threshold_0.63,0.871386184,0.789300837,40_training
19_threshold_0.72,0.843779919,0.771236683,40_training
19_threshold_0.81,0.779173277,0.743456664,40_training
19_threshold_0.9,0.66639103,0.72069963,37_training
20_threshold_0.09,0.615439792,0.791259903,24_training
20_threshold_0.18,0.696861553,0.791294101,24_training
20_threshold_0.27,0.748914686,0.753730068,24_training
20_threshold_0.36,0.789172796,0.793403487,35_training
20_threshold_0.45,0.813841453,0.810813616,35_training
20_threshold_0.54,0.823832321,0.808660607,35_training
20_threshold_0.63,0.814889988,0.776978898,35_training
20_threshold_0.72,0.782471084,0.766708307,35_training
20_threshold_0.81,0.722727388,0.287394572,24_training
20_threshold_0.9,0.617650365,0.287394572,24_training
